LAD19CD,TacticalCell,LAD_int_Proportion of neighbourhoods in 20% most digitally excluded,LAD_int_Percentage of population who are ethnic minority,"LAD_int_Latest COVID-19 cases per 100,000",LAD_int_Fuel Poor Households,LAD_int_Homelessness (rate per 1000),LAD_int_Clinically extremely vulnerable,LAD_int_Unemployed receiving Universal Credit,LAD_int_People receiving Section 95 support,LAD_perc_Proportion of neighbourhoods in 20% most digitally excluded,LAD_perc_Percentage of population who are ethnic minority,"LAD_perc_Latest COVID-19 cases per 100,000",LAD_perc_Fuel Poor Households,LAD_perc_Homelessness (rate per 1000),LAD_perc_Clinically extremely vulnerable,LAD_perc_Unemployed receiving Universal Credit,LAD_perc_People receiving Section 95 support,tc_int_Proportion of neighbourhoods in 20% most digitally excluded,tc_int_Percentage of population who are ethnic minority,"tc_int_Latest COVID-19 cases per 100,000",tc_int_Fuel Poor Households,tc_int_Homelessness (rate per 1000),tc_int_Clinically extremely vulnerable,tc_int_Unemployed receiving Universal Credit,tc_int_People receiving Section 95 support,tc_perc_Proportion of neighbourhoods in 20% most digitally excluded,tc_perc_Percentage of population who are ethnic minority,"tc_perc_Latest COVID-19 cases per 100,000",tc_perc_Fuel Poor Households,tc_perc_Homelessness (rate per 1000),tc_perc_Clinically extremely vulnerable,tc_perc_Unemployed receiving Universal Credit,tc_perc_People receiving Section 95 support
E09000010,London,NA,NA,210.31,15911,7.897,9805,25424,377,0,38.9,NA,12.7,NA,2.9,7.6,NA,NA,NA,NA,391924,NA,323660,586292,6632,0.006103763987792472,40.3,NA,11.4,NA,3.6,6.6,NA
E09000011,London,NA,NA,176.08,11798,4.862,8550,18859,241,0,40.2,NA,11.1,NA,3,6.6,NA,NA,NA,NA,391924,NA,323660,586292,6632,0.006103763987792472,40.3,NA,11.4,NA,3.6,6.6,NA
E09000012,London,NA,NA,163.66,12980,8.322,7584,20388,44,0,43.7,NA,12.2,NA,2.7,7.3,NA,NA,NA,NA,391924,NA,323660,586292,6632,0.006103763987792472,40.3,NA,11.4,NA,3.6,6.6,NA
E09000013,London,NA,NA,207.95,9585,4.269,8410,13239,14,0,30.8,NA,11.3,NA,4.5,7.1,NA,NA,NA,NA,391924,NA,323660,586292,6632,0.006103763987792472,40.3,NA,11.4,NA,3.6,6.6,NA
E09000014,London,NA,NA,140.71,15393,5.2,9060,22397,198,0,33.2,NA,14.4,NA,3.3,8.3,NA,NA,NA,NA,391924,NA,323660,586292,6632,0.006103763987792472,40.3,NA,11.4,NA,3.6,6.6,NA
E09000015,London,NA,NA,183.55,10364,4.914,10970,13901,130,0,55.8,NA,11.7,NA,4.4,5.6,NA,NA,NA,NA,391924,NA,323660,586292,6632,0.006103763987792472,40.3,NA,11.4,NA,3.6,6.6,NA
E09000016,London,NA,NA,357.15,9200,3.405,9385,13136,337,0,22.7,NA,9,NA,3.6,5.1,NA,NA,NA,NA,391924,NA,323660,586292,6632,0.006103763987792472,40.3,NA,11.4,NA,3.6,6.6,NA
E09000017,London,NA,NA,230.06,10663,2.712,15130,16987,554,0,55.1,NA,10.1,NA,5,5.6,NA,NA,NA,NA,391924,NA,323660,586292,6632,0.006103763987792472,40.3,NA,11.4,NA,3.6,6.6,NA
E09000018,London,NA,NA,183.78,11494,3.911,21225,22537,414,0,47.6,NA,11.6,NA,7.8,8.3,NA,NA,NA,NA,391924,NA,323660,586292,6632,0.006103763987792472,40.3,NA,11.4,NA,3.6,6.6,NA
E09000019,London,NA,NA,159.61,10763,3.219,6760,15218,30,0,35.1,NA,11,NA,2.8,6.4,NA,NA,NA,NA,391924,NA,323660,586292,6632,0.006103763987792472,40.3,NA,11.4,NA,3.6,6.6,NA
